,name,spec,price
0,Cottage for holiday let Deux Sevres - PS003844_A,"Bedrooms 4, Sleeps 10, Ratings 1 9.5/10",£550 to £810 pw
1,"Holiday cottage in Briquebec town, Normandy - NM006264","Bedrooms 2, Sleeps 4, Ratings 5 9/10",£275 to £395 pw
2,Holiday let 4km from the Vendée coast - LV004385,"Bedrooms 2, Sleeps 5, Ratings 10 9.6/10",£345 to £645 pw
3,"Stylish 2 bedroom gite to let, rural Dordogne - AD007675","Bedrooms 2, Sleeps 4",£875 to £2950 pw
4,Stunning water Mill to let in Normandy - NM007149,"Bedrooms 3, Sleeps 6, Ratings 2 8.9/10",£735 to £925 pw
5,"Family holiday gite, shared pool, in Dordogne - AD006518","Bedrooms 2, Sleeps 4, Ratings 1 10/10",£650 to £1050 pw
6,Beautiful townhouse to let in Midi Pyrenees - ML007563,"Bedrooms 2, Sleeps 4, Ratings 1 3.7/10",£550 pw
7,"Driftwood, holiday cottage to let in Brittany - BF003359_B","Bedrooms 2, Sleeps 5, Ratings 8 8.8/10",£650 pw
8,Large holiday gite with pool in Charente - PC004341,"Bedrooms 5, Sleeps 12, Ratings 3 9.8/10",£750 to £2095 pw
9,Deux Sevres holiday gite with private pool - PS004928,"Bedrooms 5, Sleeps 10, Ratings 3 9.4/10",£1415 pw
10,"Beautiful Barn for holiday rental, Brittany - BM001294_C","Bedrooms 11, Sleeps 25",£325 to £995 pw
11,Holiday cottage rental nr river in Morbihan - BM004861,"Bedrooms 2, Sleeps 4, Ratings 4 9.8/10",£420 to £693 pw
12,"Holiday gite, shared pool, Brittany - BN007657","Bedrooms 3, Sleeps 6",£1434 to £1684 pw
13,Lovely cottage to let with pool in Dordogne - AD007590,"Bedrooms 3, Sleeps 7",£550 to £1500 pw
14,"Farmhouse & barn conversion to let, Aquitaine - AD007483","Bedrooms 6, Sleeps 12",£1100 to £2400 pw
15,Holiday cottage to let in rural Normandy - NM004628,"Bedrooms 2, Sleeps 4, Ratings 13 10/10",£445 to £495 pw
16,Vendee farmhouse for holiday rental - LV000815,"Bedrooms 3, Sleeps 7, Ratings 15 9.6/10",£425 to £650 pw
